,Polarity_median,Polarity_mean,Polarity_mode,Polarity_stdev,PR_nb_comments,PR_state,lines_added,lines_removed,modified_files,modified_classes,class_loc,class_cboModified,class_wmc,class_lcom*,total_methods_qtt,method_loc,method_cboModified,method_wmc,parameters_qtt
189,0.50,0.50,0,0.50,4,-1,303,0,4,4,20.00,8.50,3.50,0.22,3.00,7.00,0.00,1.00,0.00
190,0.50,0.50,1,0.50,2,-1,1,4,1,1,-2.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00
191,0.00,0.24,0,0.71,25,-1,59,3,2,2,19.00,0.50,2.50,0.00,0.50,8.50,0.00,0.50,0.00
192,0.00,0.30,0,0.46,4,-1,57,0,3,3,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,0.00,0.14,0,0.64,21,-1,442,166,9,9,0.00,2.00,0.00,0.05,0.00,2.00,1.00,1.00,0.00
194,1.00,1.00,1,0.00,5,-1,702,1068,213,100,-1.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
195,1.00,0.67,1,0.47,6,-1,4,1,1,1,1.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
196,0.00,0.00,0,0.00,2,-1,6,6,2,2,-1.00,0.00,0.50,0.08,0.00,-1.00,0.00,0.00,0.00
197,0.00,0.20,0,0.40,33,-1,434,0,11,7,17.00,7.00,2.00,0.00,2.00,5.00,1.00,1.00,0.00
198,0.00,0.25,0,0.43,4,-1,7,7,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,0.00,0.33,0,0.47,6,-1,644,645,105,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,1.00,1.00,1,0.00,2,-1,31,29,13,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,0.00,0.00,0,0.00,2,-1,5,1,1,1,1.00,0.00,0.00,0.00,0.00,,,,
202,0.00,0.40,0,0.49,5,-1,43,7,5,5,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00
203,0.00,0.33,0,0.47,13,-1,204,25,4,3,14.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00
204,0.00,0.00,0,0.00,6,-1,71,56,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205,0.00,0.00,0,0.00,5,-1,362,0,5,3,63.00,14.00,7.50,0.30,5.50,3.00,1.00,1.00,0.00
206,0.00,0.00,0,0.00,16,-1,61,3,3,3,8.00,1.00,1.00,0.03,1.00,1.50,0.00,0.50,0.00
207,0.00,0.00,0,0.00,13,-1,394,0,7,6,35.00,9.00,3.00,0.00,3.00,8.00,0.00,1.00,0.00
208,0.00,0.00,0,0.00,1,-1,15,34,1,1,-19.00,-2.00,-2.00,0.00,-1.00,-4.00,0.00,0.00,0.00
209,1.00,1.00,1,0.00,1,-1,125,232,31,31,-2.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
